gender,isHomeOwner,isMarried,schoolLocation,isGraduateStudent,isGraduatedOrSuspended,incomePercent,totalAsset,carValue,hasCar,isPriority1Eligible,isRecipient,isSingleParentFamily,isParentsHomeless,isApplicantDisabled,isParentsDisabled,subscriptionCount,applied_danji,applied_priority,derived_priority,derived_score,Pass
남성,0,0,서울,0,0,118,14265799,0,0,0,0,0,0,0,0,6,연남공공원룸텔,3,4,1,0
남성,0,0,서울,0,0,59,265595695,32588477,1,0,0,0,0,0,0,11,희망하우징(정릉동 1036),2,2,1,1
남성,0,0,기타,0,0,102,87490893,0,0,0,0,0,0,0,0,2,희망하우징(정릉동 1036),3,4,0,0
남성,0,0,서울,0,0,159,188333930,0,0,0,0,0,0,0,0,12,연남공공원룸텔,2,4,2,0
남성,0,0,서울,0,0,26,38317637,0,0,0,0,0,1,0,0,15,희망하우징(정릉동 1036),3,3,7,1
여성,0,0,서울,0,0,28,78387461,0,0,1,0,1,1,0,0,4,희망하우징(정릉동 1036),1,1,5,1
여성,0,0,기타,0,1,12,101306093,0,0,0,0,0,1,0,0,20,연남공공원룸텔,3,4,7,0
남성,0,0,기타,0,0,62,207128875,30028290,1,0,0,0,1,0,0,11,희망하우징(정릉동 1036),2,4,3,0
남성,0,0,기타,0,0,24,42329237,0,0,0,0,0,1,0,0,2,연남공공원룸텔,3,4,5,0
남성,0,0,서울,0,0,61,105690391,0,0,0,0,0,1,0,0,16,연남공공원룸텔,3,4,4,0
남성,0,0,서울,0,0,24,14216175,0,0,1,0,1,1,0,0,21,희망하우징(정릉동 1036),1,1,7,1
남성,0,0,서울,0,0,58,22660194,0,0,0,0,0,1,0,0,23,희망하우징(정릉동 1036),3,3,4,1
남성,0,0,서울,0,0,49,43528453,0,0,1,0,0,1,0,0,27,연남공공원룸텔,1,1,5,1
남성,1,0,기타,0,0,134,74606833,0,0,0,0,0,1,0,0,12,연남공공원룸텔,3,4,4,0
여성,0,0,기타,0,0,77,266877277,48868131,1,0,0,0,1,0,0,1,희망하우징(정릉동 1036),2,4,2,0
남성,1,0,서울,0,0,57,15334035,0,0,1,0,1,1,0,0,16,희망하우징(정릉동 1036),1,4,7,0
여성,0,0,서울,0,0,24,11250299,0,0,0,0,0,1,1,1,2,희망하우징(정릉동 1036),1,4,5,0
여성,1,0,서울,0,0,55,50181935,0,0,1,1,0,1,0,0,8,연남공공원룸텔,1,4,6,0
남성,0,0,서울,0,0,77,77834855,0,0,0,0,0,1,0,0,13,연남공공원룸텔,3,3,4,0
남성,0,0,기타,0,0,24,30005727,0,0,1,1,0,1,0,0,4,희망하우징(정릉동 1036),1,4,5,0
남성,0,0,서울,0,0,42,64543049,0,0,1,1,0,1,0,1,7,희망하우징(정릉동 1036),1,1,7,1
남성,0,0,서울,0,0,143,283233772,0,0,0,0,0,1,0,0,27,연남공공원룸텔,2,4,5,0
남성,0,0,서울,0,0,37,19317495,0,0,1,0,0,1,0,0,12,희망하우징(정릉동 1036),1,1,4,1
남성,0,0,서울,1,0,47,78642041,0,0,1,0,0,0,0,0,1,희망하우징(정릉동 1036),1,4,0,0
남성,1,0,서울,0,0,27,137355777,0,0,0,0,0,0,0,0,23,희망하우징(정릉동 1036),3,4,5,0
여성,0,0,서울,0,0,54,92613013,0,0,0,0,0,1,0,0,6,희망하우징(정릉동 1036),3,3,3,0
여성,0,0,서울,0,0,124,195524257,0,0,0,0,0,1,0,0,30,희망하우징(정릉동 1036),2,4,5,0
여성,0,0,서울,1,0,44,76354180,0,0,1,0,1,0,0,0,28,연남공공원룸텔,1,4,6,0
여성,0,0,서울,0,0,53,52587010,0,0,1,1,1,1,0,0,23,연남공공원룸텔,1,1,10,1
여성,0,0,서울,0,0,37,69038700,0,0,1,0,1,0,0,0,10,희망하우징(정릉동 1036),1,1,4,1
남성,0,0,서울,0,0,46,62274692,0,0,1,0,1,1,0,0,27,연남공공원룸텔,1,1,8,1
여성,1,0,서울,0,0,51,39450273,0,0,1,0,1,0,0,0,21,희망하우징(정릉동 1036),1,4,5,0
남성,0,1,서울,0,0,50,380109728,0,0,0,0,0,1,0,0,6,희망하우징(정릉동 1036),2,4,6,0
여성,0,0,서울,0,0,42,177963244,33485441,1,0,0,0,0,0,1,1,희망하우징(정릉동 1036),2,2,4,0
남성,0,0,서울,0,0,43,32520277,0,0,1,0,0,1,1,0,24,연남공공원룸텔,1,1,7,1
여성,0,0,서울,0,0,26,50477742,0,0,1,0,1,1,0,0,18,연남공공원룸텔,1,1,7,1
여성,0,0,서울,0,0,37,68186525,15663348,1,0,0,0,1,0,0,5,연남공공원룸텔,3,4,5,0
여성,0,0,서울,0,0,152,392022481,0,0,0,0,0,1,0,0,0,희망하우징(정릉동 1036),2,4,2,0
여성,0,0,서울,0,0,25,42394260,0,0,1,0,1,1,0,0,22,희망하우징(정릉동 1036),1,1,7,1
여성,0,0,서울,0,0,100,334553344,0,0,0,0,0,1,0,0,8,희망하우징(정릉동 1036),2,2,3,0
여성,0,0,서울,0,0,37,47983442,0,0,1,1,1,1,0,0,11,희망하우징(정릉동 1036),1,1,9,1
여성,0,0,서울,0,0,26,11646234,0,0,1,1,1,1,0,0,5,연남공공원룸텔,1,1,8,1
여성,0,0,서울,0,0,143,313120451,0,0,0,0,0,0,0,0,19,연남공공원룸텔,2,4,2,0
여성,0,0,서울,0,0,134,203275616,23944410,1,0,0,0,1,0,0,7,연남공공원룸텔,2,4,3,0
남성,0,0,서울,0,0,24,41329612,0,0,1,1,1,1,0,0,21,연남공공원룸텔,1,1,10,1
여성,0,0,서울,0,0,48,26690465,0,0,1,0,0,1,0,0,8,연남공공원룸텔,1,1,3,1
여성,0,0,서울,0,0,37,15399803,0,0,1,1,0,1,0,0,14,희망하우징(정릉동 1036),1,1,7,1
남성,0,0,기타,0,0,36,125122987,0,0,0,0,0,1,0,0,12,희망하우징(정릉동 1036),3,4,7,0
남성,0,0,기타,0,0,46,17275149,0,0,1,1,1,0,0,0,20,연남공공원룸텔,1,4,8,0
남성,0,0,서울,0,0,30,51708177,0,0,1,0,1,1,0,0,26,희망하우징(정릉동 1036),1,1,8,1
여성,0,0,기타,0,0,35,71308842,0,0,1,1,1,1,0,1,16,연남공공원룸텔,1,4,11,0
남성,0,0,서울,0,0,132,310285951,48917999,1,0,0,0,1,0,0,17,연남공공원룸텔,2,4,4,0
여성,0,0,서울,0,0,113,355605909,0,0,0,0,0,1,0,0,22,희망하우징(정릉동 1036),2,4,4,0
남성,0,0,서울,1,0,94,126729200,0,0,0,0,0,1,0,1,0,희망하우징(정릉동 1036),3,4,3,0
여성,1,0,서울,0,0,30,124322002,0,0,0,0,0,1,0,1,20,연남공공원룸텔,3,4,8,0
남성,0,0,기타,1,0,35,112055092,0,0,0,0,0,1,0,0,28,희망하우징(정릉동 1036),3,4,8,0
남성,0,0,서울,0,0,141,246667306,0,0,0,0,0,0,0,0,7,연남공공원룸텔,2,4,1,0
남성,0,0,서울,0,0,24,69287967,0,0,1,0,1,1,1,0,30,희망하우징(정릉동 1036),1,1,10,1
여성,0,0,서울,0,0,113,308845279,29812600,1,0,0,0,0,0,0,0,희망하우징(정릉동 1036),2,4,0,0
여성,0,0,서울,0,0,136,223432792,0,0,0,0,0,1,0,0,14,연남공공원룸텔,2,4,4,0
여성,0,0,서울,0,0,103,81249799,0,0,0,0,0,0,0,1,30,연남공공원룸텔,3,4,4,0
여성,0,0,서울,0,0,111,139824747,0,0,0,0,0,1,0,0,8,희망하우징(정릉동 1036),3,4,3,0
여성,0,0,서울,0,0,69,403122217,0,0,0,0,0,1,0,1,7,연남공공원룸텔,2,4,4,0
여성,0,0,서울,0,0,34,41514326,0,0,0,0,0,0,0,0,23,연남공공원룸텔,3,3,5,0
남성,0,0,서울,0,0,67,388039481,0,0,0,0,0,0,0,1,11,희망하우징(정릉동 1036),2,4,2,0
남성,0,0,기타,0,0,121,161466197,0,0,0,0,0,0,1,0,6,희망하우징(정릉동 1036),2,4,3,0
남성,0,0,서울,0,0,47,27447248,0,0,0,0,0,1,0,0,4,연남공공원룸텔,3,3,5,0
여성,0,0,서울,0,0,43,78885632,0,0,1,1,1,1,0,0,19,연남공공원룸텔,1,1,10,1
여성,0,0,기타,0,0,131,388135712,0,0,0,0,0,0,0,0,8,연남공공원룸텔,2,4,1,0
여성,0,0,서울,0,0,65,67723010,0,0,0,0,0,0,0,0,13,희망하우징(정릉동 1036),3,3,2,0
여성,0,0,기타,0,0,50,200052528,0,0,0,0,0,1,0,0,1,연남공공원룸텔,2,4,5,0
여성,0,0,서울,0,0,116,317744726,0,0,0,0,0,1,0,0,7,희망하우징(정릉동 1036),2,4,3,0
남성,0,0,서울,0,0,16,91737913,0,0,0,0,0,1,0,0,22,연남공공원룸텔,3,4,7,0
여성,0,0,서울,0,0,43,199262031,24437323,1,0,0,0,0,0,0,9,희망하우징(정릉동 1036),2,2,4,0
남성,0,0,서울,0,0,37,38933176,0,0,1,1,1,1,0,0,9,희망하우징(정릉동 1036),1,1,9,1
여성,0,1,서울,0,0,40,26104026,0,0,1,0,0,0,0,0,12,희망하우징(정릉동 1036),1,4,2,0
여성,0,0,서울,0,0,60,66061934,0,0,1,1,1,0,0,1,5,연남공공원룸텔,1,1,7,1
여성,0,0,서울,0,0,41,32566390,0,0,1,0,1,0,0,0,6,희망하우징(정릉동 1036),1,1,4,1
여성,1,0,서울,0,0,49,112034369,0,0,0,0,0,0,1,0,14,희망하우징(정릉동 1036),3,4,7,0
여성,0,0,서울,0,0,100,78093604,0,0,0,0,0,1,0,0,9,희망하우징(정릉동 1036),3,3,3,0
남성,0,0,서울,1,0,58,53154591,0,0,0,0,0,1,1,0,25,연남공공원룸텔,3,4,7,0
남성,0,0,서울,1,0,103,60043345,0,0,0,0,0,0,0,0,1,희망하우징(정릉동 1036),3,4,0,0
남성,0,0,서울,0,0,151,230731065,0,0,0,0,0,1,0,0,30,희망하우징(정릉동 1036),2,4,5,0
남성,0,0,서울,0,0,33,96707983,0,0,0,0,0,1,0,0,30,희망하우징(정릉동 1036),3,3,8,1
여성,0,1,서울,0,0,109,170265528,0,0,0,0,0,1,0,0,4,연남공공원룸텔,2,4,2,0
남성,0,0,서울,0,0,70,69619341,0,0,0,0,0,1,0,0,7,연남공공원룸텔,3,3,3,0
여성,0,0,기타,0,0,32,28575536,0,0,1,0,1,1,0,0,11,희망하우징(정릉동 1036),1,4,6,0
남성,0,0,서울,0,0,156,269205747,33460257,1,0,0,0,1,0,0,11,연남공공원룸텔,2,4,3,0
여성,0,0,기타,0,0,50,28628439,0,0,1,0,0,1,0,0,28,연남공공원룸텔,1,4,5,0
남성,0,0,기타,0,0,70,311679319,0,0,0,0,0,0,0,0,2,연남공공원룸텔,2,4,0,0
여성,0,0,서울,0,0,100,42287985,0,0,0,0,0,0,0,0,11,연남공공원룸텔,3,3,1,0
남성,0,0,서울,0,0,48,335114431,0,0,0,0,0,1,0,0,24,연남공공원룸텔,2,2,8,1
여성,0,0,서울,0,0,28,18469210,0,0,1,0,1,1,0,0,6,희망하우징(정릉동 1036),1,4,6,0
남성,0,0,서울,0,0,42,16416148,0,0,1,0,0,1,0,0,11,연남공공원룸텔,1,1,3,1
여성,0,0,서울,0,0,78,117528276,0,0,0,0,0,1,0,1,5,희망하우징(정릉동 1036),3,4,3,0
여성,0,0,서울,0,0,42,68376726,0,0,1,1,0,0,1,1,2,희망하우징(정릉동 1036),1,1,6,1
여성,0,0,기타,0,0,18,26942307,0,0,0,0,0,1,0,0,18,희망하우징(정릉동 1036),3,4,7,0
남성,0,0,서울,0,0,90,97182566,0,0,0,0,0,1,0,0,16,연남공공원룸텔,3,3,4,0
여성,0,0,서울,0,0,65,215840464,0,0,0,0,0,0,0,0,2,희망하우징(정릉동 1036),2,4,0,0
여성,0,0,서울,0,0,54,116528125,0,0,0,0,0,0,1,0,7,희망하우징(정릉동 1036),3,4,3,0
남성,0,0,서울,0,0,79,363760508,42122671,1,0,0,0,1,0,0,2,희망하우징(정릉동 1036),2,4,2,0
여성,0,0,서울,0,0,56,113049906,12258130,1,0,0,0,1,0,0,16,연남공공원룸텔,3,4,4,0
여성,0,0,서울,0,0,60,46836194,0,0,1,0,1,0,0,0,16,연남공공원룸텔,1,1,5,1
남성,0,0,서울,0,0,56,45521514,0,0,1,1,0,1,0,0,20,연남공공원룸텔,1,1,7,1
